victim,variant,ASR@0.5,BLEU(refined|orig)
Gemma,single,0.043333333333333335,100.00000000000003
Gemma,final,0.03,100.00000000000003
Gemma,base,0.043333333333333335,100.00000000000003
Qwen,single,0.06333333333333334,100.00000000000003
Qwen,final,0.03333333333333333,100.00000000000003
Qwen,base,0.04,100.00000000000003
TinyLlama,single,0.33166666666666667,100.00000000000003
TinyLlama,final,0.355,100.00000000000003
TinyLlama,base,0.3233333333333333,100.00000000000003
