victim,variant,mean_BERT,std_BERT,cv_BERT_%
Gemma,base,10.527157359135648,0.6058717151512835,5.75532116108721
Gemma,final,9.137823471359297,0.6723854578206815,7.358267096405844
Gemma,single,9.686860305955634,0.6398510137717041,6.60534986117549
Qwen,base,-2.376658721582013,0.4148800224640942,-17.45644078792815
Qwen,final,-2.934283633344118,0.7685602423171869,-26.192431896615297
Qwen,single,-2.224245426574877,0.4758721875006799,-21.39476974146136
TinyLlama,base,-1.282971382441853,0.2819350897595246,-21.975165901434476
TinyLlama,final,-2.7625653813399063,0.4030584024364442,-14.590004101222458
TinyLlama,single,-1.2530806337221823,0.41235666430341217,-32.90743254714085
