victim,base,final,single,gain_final_vs_single,gain_final_vs_base
Gemma,0.043333333333333335,0.03,0.043333333333333335,-0.013333333333333336,-0.013333333333333336
Qwen,0.04,0.03333333333333333,0.06333333333333334,-0.030000000000000006,-0.006666666666666668
TinyLlama,0.3233333333333333,0.355,0.33166666666666667,0.023333333333333317,0.031666666666666676
